Prefix,URI
sec,https://w3id.org/security#
ps,https://w3id.org/payswarm#
navm,https://w3id.org/navigation_menu#
lfov,https://w3id.org/legal_form#
curr,https://w3id.org/cc#
namespaces,https://vg.no/
bib,http://zeitkunst.org/bibtex/0.1/bibtex.owl#
zbwext,http://zbw.eu/namespaces/zbw-extensions/
p20,http://zbw.eu/beta/p20/vocab/
yago,http://yago-knowledge.org/resource/
erce,http://xxefe.de/
aair,http://xmlns.notu.be/aair#
wot,http://xmlns.com/wot/0.1/
wn,http://xmlns.com/wordnet/1.6/
foaf,http://xmlns.com/foaf/0.1/
aerols,http://xmlns.com/aerols/0.1/
saif,http://wwwiti.cs.uni-magdeburg.de/~srahman/
sider,http://www4.wiwiss.fu-berlin.de/sider/resource/sider/
factbook,http://www4.wiwiss.fu-berlin.de/factbook/ns#
drugbank,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/
diseasome,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseasome/
dailymed,http://www4.wiwiss.fu-berlin.de/dailymed/resource/dailymed/
cordis,http://www4.wiwiss.fu-berlin.de/cordis/resource/cordis/
r2r,http://www4.wiwiss.fu-berlin.de/bizer/r2r/
bsbm,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/
xbrli,http://www.xbrl.org/2003/instance#
wl,http://www.wsmo.org/ns/wsmo-lite#
wsl,http://www.wsmo.org/ns/wsmo-lite#
d2rq,http://www.wiwiss.fu-berlin.de/suhl/bizer/D2RQ/0.1#
wd,http://www.wikidata.org/entity/
wikidata,http://www.wikidata.org/entity/
who,http://www.who.int/vocab/ontology#
xml,http://www.w3.org/XML/1998/namespace/
sgv,http://www.w3.org/TR/SVG/
owltime,http://www.w3.org/TR/owl-time#
vin,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#
fowl,http://www.w3.org/TR/2003/PR-owl-guide-20031209/food#
tblcard,http://www.w3.org/People/Berners-Lee/card#
ui,http://www.w3.org/ns/ui#
sd,http://www.w3.org/ns/sparql-service-description#
sawsdl,http://www.w3.org/ns/sawsdl#
rov,http://www.w3.org/ns/regorg#
rdfa,http://www.w3.org/ns/rdfa#
radion,http://www.w3.org/ns/radion#
rad,http://www.w3.org/ns/rad#
r2rml,http://www.w3.org/ns/r2rml#
rr,http://www.w3.org/ns/r2rml#
prov,http://www.w3.org/ns/prov#
person,http://www.w3.org/ns/person#
gldp,http://www.w3.org/ns/people#
org,http://www.w3.org/ns/org#
oax,http://www.w3.org/ns/openannotation/extensions/
odrl,http://www.w3.org/ns/odrl/2/
oa,http://www.w3.org/ns/oa#
md,http://www.w3.org/ns/md#
ma,http://www.w3.org/ns/ma-ont#
locn,http://www.w3.org/ns/locn#
ldp,http://www.w3.org/ns/ldp#
hydra,http://www.w3.org/ns/hydra/core#
formats,http://www.w3.org/ns/formats/
earl,http://www.w3.org/ns/earl#
dcat,http://www.w3.org/ns/dcat#
rsa,http://www.w3.org/ns/auth/rsa#
cert,http://www.w3.org/ns/auth/cert#
acl,http://www.w3.org/ns/auth/acl#
adms,http://www.w3.org/ns/adms#
shex,http://www.w3.org/2013/ShEx/ns#
htir,http://www.w3.org/2011/http#
w3http,http://www.w3.org/2011/http#
httpm,http://www.w3.org/2011/http-methods#
cnt,http://www.w3.org/2011/content#
ptr,http://www.w3.org/2009/pointers#
ttl,http://www.w3.org/2008/turtle#
skos08,http://www.w3.org/2008/05/skos#
skosxl,http://www.w3.org/2008/05/skos-xl#
web,http://www.w3.org/2007/uwa/context/web.owl#
soft,http://www.w3.org/2007/uwa/context/software.owl#
push,http://www.w3.org/2007/uwa/context/push.owl#
net,http://www.w3.org/2007/uwa/context/network.owl#
loc,http://www.w3.org/2007/uwa/context/location.owl#
java,http://www.w3.org/2007/uwa/context/java.owl#
hard,http://www.w3.org/2007/uwa/context/hardware.owl#
dcn,http://www.w3.org/2007/uwa/context/deliverycontext.owl#
common,http://www.w3.org/2007/uwa/context/common.owl#
rif,http://www.w3.org/2007/rif#
func,http://www.w3.org/2007/rif-builtin-function#
act,http://www.w3.org/2007/rif-builtin-action#
un,http://www.w3.org/2007/ont/unit#
httph,http://www.w3.org/2007/ont/httph#
powder,http://www.w3.org/2007/05/powder#
wdr,http://www.w3.org/2007/05/powder#
wdrs,http://www.w3.org/2007/05/powder-s#
vcard,http://www.w3.org/2006/vcard/ns#
vcard2006,http://www.w3.org/2006/vcard/ns#
tzont,http://www.w3.org/2006/timezone#
time,http://www.w3.org/2006/time#
te,http://www.w3.org/2006/time-entry#
link,http://www.w3.org/2006/link#
httpvoc,http://www.w3.org/2006/http#
gen,http://www.w3.org/2006/gen/ont#
gso,http://www.w3.org/2006/gen/ont#
wn20schema,http://www.w3.org/2006/03/wn/wn20/schema/
wn20,http://www.w3.org/2006/03/wn/wn20/
fn,http://www.w3.org/2005/xpath-functions#
res,http://www.w3.org/2005/sparql-results#
atom,http://www.w3.org/2005/Atom/
itsrdf,http://www.w3.org/2005/11/its/rdf#
states,http://www.w3.org/2005/07/aaa#
flow,http://www.w3.org/2005/01/wf/flow#
wf,http://www.w3.org/2005/01/wf/flow#
wairole,http://www.w3.org/2005/01/wai-rdf/GUIRoleTaxonomy#
ql,http://www.w3.org/2004/ql#
delta,http://www.w3.org/2004/delta#
fresnel,http://www.w3.org/2004/09/fresnel#
rei,http://www.w3.org/2004/06/rei#
swp,http://www.w3.org/2004/03/trix/swp-2/
rdfg,http://www.w3.org/2004/03/trix/rdfg-1/
trig,http://www.w3.org/2004/03/trix/rdfg-1/
skos,http://www.w3.org/2004/02/skos/core#
imreg,http://www.w3.org/2004/02/image-regions#
grddl,http://www.w3.org/2003/g/data-view#
exif,http://www.w3.org/2003/12/exif/ns#
swrlb,http://www.w3.org/2003/11/swrlb#
swrl,http://www.w3.org/2003/11/swrl#
vs,http://www.w3.org/2003/06/sw-vocab-status/ns#
soap,http://www.w3.org/2003/05/soap-envelope/
geo,http://www.w3.org/2003/01/geo/wgs84_pos#
pos,http://www.w3.org/2003/01/geo/wgs84_pos#
wgs,http://www.w3.org/2003/01/geo/wgs84_pos#
wgs84,http://www.w3.org/2003/01/geo/wgs84_pos#
wgspos,http://www.w3.org/2003/01/geo/wgs84_pos#
xf,http://www.w3.org/2002/xforms/
xforms,http://www.w3.org/2002/xforms/
icaltzd,http://www.w3.org/2002/12/cal/icaltzd#
cal,http://www.w3.org/2002/12/cal/ical#
ical,http://www.w3.org/2002/12/cal/ical#
owl,http://www.w3.org/2002/07/owl#
p3p,http://www.w3.org/2002/01/p3prdfv1#
bookmark,http://www.w3.org/2002/01/bookmark#
xds,http://www.w3.org/2001/XMLSchema#
xmls,http://www.w3.org/2001/XMLSchema#
xs,http://www.w3.org/2001/XMLSchema#
xsd,http://www.w3.org/2001/XMLSchema#
xsi,http://www.w3.org/2001/XMLSchema-instance#
transmed,http://www.w3.org/2001/sw/hcls/ns/transmed/
mf,http://www.w3.org/2001/sw/DataAccess/tests/test-manifest#
mt,http://www.w3.org/2001/sw/DataAccess/tests/test-manifest#
dawgt,http://www.w3.org/2001/sw/DataAccess/tests/test-dawg#
enc,http://www.w3.org/2001/04/xmlenc#
rec54,http://www.w3.org/2001/02pd/rec54.rdf#
string,http://www.w3.org/2000/10/swap/string#
set,http://www.w3.org/2000/10/swap/set#
re,http://www.w3.org/2000/10/swap/reason#
doc,http://www.w3.org/2000/10/swap/pim/doc#
con,http://www.w3.org/2000/10/swap/pim/contact#
contact,http://www.w3.org/2000/10/swap/pim/contact#
w3con,http://www.w3.org/2000/10/swap/pim/contact#
os,http://www.w3.org/2000/10/swap/os#
math,http://www.w3.org/2000/10/swap/math#
log,http://www.w3.org/2000/10/swap/log#
list,http://www.w3.org/2000/10/swap/list#
crypto,http://www.w3.org/2000/10/swap/crypto#
ann,http://www.w3.org/2000/10/annotation-ns#
rdfs,http://www.w3.org/2000/01/rdf-schema#
xsl,http://www.w3.org/1999/XSL/Transform#
xlink,http://www.w3.org/1999/xlink/
xhtml,http://www.w3.org/1999/xhtml#
xhv,http://www.w3.org/1999/xhtml/vocab#
xhtmlvocab,http://www.w3.org/1999/xhtml/vocab/
rdf,http://www.w3.org/1999/02/22-rdf-syntax-ns#
rating,http://www.tvblob.com/ratings/#
tr,http://www.thomsonreuters.com/
quty,http://www.telegraphis.net/ontology/measurement/quantity#
msr,http://www.telegraphis.net/ontology/measurement/measurement#
geos,http://www.telegraphis.net/ontology/geography/geography#
tei,http://www.tei-c.org/ns/1.0/
wikipedia,http://www.systemone.at/2006/03/wikipedia#
smiley,http://www.smileyontology.com/ns#
cheminf,http://www.semanticweb.org/ontologies/cheminf.owl#
remus,http://www.semanticweb.org/ontologies/2010/6/Ontology1279614123500.owl#
ontosec,http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#
mocanal,http://www.semanticweb.org/asow/ontologies/2013/9/untitled-ontology-36#
tmo,http://www.semanticdesktop.org/ontologies/2008/05/20/tmo#
pimo,http://www.semanticdesktop.org/ontologies/2007/11/01/pimo#
nrl,http://www.semanticdesktop.org/ontologies/2007/08/15/nrl#
nao,http://www.semanticdesktop.org/ontologies/2007/08/15/nao#
nid3,http://www.semanticdesktop.org/ontologies/2007/05/10/nid3#
nexif,http://www.semanticdesktop.org/ontologies/2007/05/10/nexif#
ncal,http://www.semanticdesktop.org/ontologies/2007/04/02/ncal#
nmo,http://www.semanticdesktop.org/ontologies/2007/03/22/nmo#
nfo,http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#
nco,http://www.semanticdesktop.org/ontologies/2007/03/22/nco#
nie,http://www.semanticdesktop.org/ontologies/2007/01/19/nie#
sl,http://www.semanlink.net/2001/00/semanlink-schema#
hdo,http://www.samos.gr/ontologies/helpdeskOnto.owl#
s3db,http://www.s3db.org/core#
resist,http://www.rkbexplorer.com/ontologies/resist#
coref,http://www.rkbexplorer.com/ontologies/coref#
acm,http://www.rkbexplorer.com/ontologies/acm#
rso,http://www.researchspace.org/ontology/
govtrackus,http://www.rdfabout.com/rdf/usgov/geo/us/
vote,http://www.rdfabout.com/rdf/schema/vote/
usgov,http://www.rdfabout.com/rdf/schema/usgovt/
fec,http://www.rdfabout.com/rdf/schema/usfec/
bill,http://www.rdfabout.com/rdf/schema/usbill/
politico,http://www.rdfabout.com/rdf/schema/politico/
eseduc,http://www.purl.org/ontologia/eseduc#
limo,http://www.purl.org/limo-ontology/limo#
bk,http://www.provbook.org/ns/#
prot,http://www.proteinontology.info/po.owl#
pto,http://www.productontology.org/id/
ipad,http://www.padinthecity.com/
genea,http://www.owl-ontologies.com/generations.owl#
ostop,http://www.ordnancesurvey.co.uk/ontology/Topography/v0.1/Topography.owl#
onssprel,http://www.ordnancesurvey.co.uk/ontology/SpatialRelations/v0.2/SpatialRelations.owl#
osukdt,http://www.ordnancesurvey.co.uk/ontology/Datatypes.owl#
osag,http://www.ordnancesurvey.co.uk/ontology/AdministrativeGeography/v2.0/AdministrativeGeography.rdf#
opmw,http://www.opmw.org/ontology/
sesame,http://www.openrdf.org/schema/sesame#
obj,http://www.openrdf.org/rdf/2009/object#
meta,http://www.openrdf.org/rdf/2009/metadata#
sail,http://www.openrdf.org/config/sail#
fed,http://www.openrdf.org/config/sail/federation#
custom,http://www.openrdf.org/config/sail/custom#
rep,http://www.openrdf.org/config/repository#
sr,http://www.openrdf.org/config/repository/sail#
omn,http://www.openmobilenetwork.org/resource/
prf,http://www.openmobilealliance.org/tech/profiles/UAPROF/ccppschema-20021212#
rdfdf,http://www.openlinksw.com/virtrdf-data-formats#
skiresort,http://www.openlinksw.com/ski_resorts/schema#
openlinks,http://www.openlinksw.com/schemas/virtrdf#
oplcb,http://www.openlinksw.com/schemas/crunchbase#
bif,http://www.openlinksw.com/schema/sparql/extensions#
oplres,http://www.openlinksw.com/ontology/restrictions#
oplprod,http://www.openlinksw.com/ontology/products#
opllic,http://www.openlinksw.com/ontology/licenses#
oplacl,http://www.openlinksw.com/ontology/acl#
campsite,http://www.openlinksw.com/campsites/schema#
wsc,http://www.openk.org/wscaim.owl#
wscaim,http://www.openk.org/wscaim.owl#
sf,http://www.opengis.net/ont/sf#
geosparql,http://www.opengis.net/ont/geosparql#
gsp,http://www.opengis.net/ont/geosparql#
kml,http://www.opengis.net/kml/2.2#
gml,http://www.opengis.net/gml/
geof,http://www.opengis.net/def/function/geosparql/
ore,http://www.openarchives.org/ore/terms/
friends,http://www.openarchives.org/OAI/2.0/friends/
defns,http://www.openarchives.org/OAI/2.0/
oac,http://www.openannotation.org/ns/
owlim,http://www.ontotext.com/trree/owlim#
ptop,http://www.ontotext.com/proton/protontop#
psys,http://www.ontotext.com/proton/protonsys#
pkm,http://www.ontotext.com/proton/protonkm#
pext,http://www.ontotext.com/proton/protonext#
opwn,http://www.ontologyportal.org/WordNet.owl#
cpa,http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#
irw,http://www.ontologydesignpatterns.org/ont/web/irw.owl#
lmm2,http://www.ontologydesignpatterns.org/ont/lmm/LMM_L2.owl#
lmm1,http://www.ontologydesignpatterns.org/ont/lmm/LMM_L1.owl#
ontopic,http://www.ontologydesignpatterns.org/ont/dul/ontopic.owl#
iol,http://www.ontologydesignpatterns.org/ont/dul/IOLite.owl#
ire,http://www.ontologydesignpatterns.org/cpont/ire.owl#
ti,http://www.ontologydesignpatterns.org/cp/owl/timeinterval.owl#
tis,http://www.ontologydesignpatterns.org/cp/owl/timeindexedsituation.owl#
sit,http://www.ontologydesignpatterns.org/cp/owl/situation.owl#
situ,http://www.ontologydesignpatterns.org/cp/owl/situation.owl#
seq,http://www.ontologydesignpatterns.org/cp/owl/sequence.owl#
odpart,http://www.ontologydesignpatterns.org/cp/owl/participation.owl#
infor,http://www.ontologydesignpatterns.org/cp/owl/informationrealization.owl#
ir,http://www.ontologydesignpatterns.org/cp/owl/informationrealization.owl#
irrl,http://www.ontologydesignpatterns.org/cp/owl/informationobjectsandrepresentationlanguages.owl#
cmp,http://www.ontologydesignpatterns.org/cp/owl/componency.owl#
gfo,http://www.onto-med.de/ontologies/gfo.owl#
ogbd,http://www.ogbd.fr/2012/ontologie#
gc,http://www.oegov.org/core/owl/gc#
oecc,http://www.oegov.org/core/owl/cc#
fcp,http://www.newmedialab.at/fcp/
nxs,http://www.neclimateus.org/
np,http://www.nanopub.org/nschema#
mygrid,http://www.mygrid.org.uk/ontology#
moby,http://www.mygrid.org.uk/mygrid-moby-service#
mei,http://www.music-encoding.org/ns/mei/
swrcfe,http://www.morelab.deusto.es/ontologies/swrcfe#
my,http://www.mobile.com/model/
qa,http://www.mit.jyu.fi/ai/TRUST_Ontologies/QA.owl#
metalex,http://www.metalex.eu/schema/1.0#
abc,http://www.metadata.net/harmony/ABCSchemaV5Commented.rdf#
lotico,http://www.lotico.com/resource/
loticoowl,http://www.lotico.com/ontology/
meetup,http://www.lotico.com/meetup/
diag,http://www.loc.gov/zing/srw/diagnostic/
sru,http://www.loc.gov/zing/srw/
mods,http://www.loc.gov/mods/v3#
mads,http://www.loc.gov/mads/rdf/v1#
madsrdf,http://www.loc.gov/mads/rdf/v1#
dul,http://www.loa-cnr.it/ontologies/DUL.owl#
iot,http://www.linkedthings.com/iot/
vaem,http://www.linkedmodel.org/schema/vaem#
dtype,http://www.linkedmodel.org/schema/dtype#
decl,http://www.linkedmodel.org/1.0/schema/decl#
l2sp,http://www.linked2safety-project.eu/properties/
semio,http://www.lingvoj.org/semio#
lingvo,http://www.lingvoj.org/ontology#
lingvoj,http://www.lingvoj.org/ontology#
olca,http://www.lingvoj.org/olca#
lexinfo,http://www.lexinfo.net/ontology/2.0/lexinfo#
lmf,http://www.lexinfo.net/lmf#
lemon,http://www.lemon-model.net/lemon#
ub,http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#
olac11,http://www.language-archives.org/OLAC/1.1/
olac,http://www.language-archives.org/OLAC/1.0/
whois,http://www.kanzaki.com/ns/whois#
mu,http://www.kanzaki.com/ns/music#
dpd,http://www.kanzaki.com/ns/dpd#
doclist,http://www.junkwork.net/xml/DocumentList#
jjd,http://www.joshuajeeson.com/
dcr,http://www.isocat.org/ns/dcr.rdf#
isocat,http://www.isocat.org/datcat/
pic,http://www.ipaw.info/ns/picaso#
cos,http://www.inria.fr/acacia/corese#
infosys,http://www.infosys.com/
span,http://www.ifomis.org/bfo/1.1/span#
voidwh,http://www.ics.forth.gr/isl/VoIDWarehouse/VoID_Extension_Schema.owl#
icane,http://www.icane.es/opendata/vocab#
hg,http://www.holygoat.co.uk/owl/redwood/0.1/tags/
hlygt,http://www.holygoat.co.uk/owl/redwood/0.1/tags/
tag,http://www.holygoat.co.uk/owl/redwood/0.1/tags/
tags,http://www.holygoat.co.uk/owl/redwood/0.1/tags/
pgterms,http://www.gutenberg.org/2009/pgterms/
onyx,http://www.gsi.dit.upm.es/ontologies/onyx/ns#
marl,http://www.gsi.dit.upm.es/ontologies/marl/ns#
georss,http://www.georss.org/georss/
grs,http://www.georss.org/georss/
geonames,http://www.geonames.org/ontology#
gn,http://www.geonames.org/ontology#
gnm,http://www.geonames.org/ontology/mappings/
geocontext,http://www.geocontext.org/publ/2013/vocab#
go,http://www.geneontology.org/go#
ftcontent,http://www.ft.com/ontology/content/
fc,http://www.freeclass.eu/freeclass_v1#
exterms,http://www.example.org/terms/
example,http://www.example.org/rdf#
lexicon,http://www.example.org/lexicon#
edm,http://www.europeana.eu/schemas/edm/
citof,http://www.essepuntato.it/2013/03/cito-functions#
tvc,http://www.essepuntato.it/2012/04/tvc/
pattern,http://www.essepuntato.it/2008/12/pattern#
koly,http://www.ensias.ma/
voidp,http://www.enakting.org/provenance/voidp/
employee,http://www.employee.com/data#
eco,http://www.ebusiness-unibw.org/ontologies/eclass/5.1.4/#
ceo,http://www.ebusiness-unibw.org/ontologies/consumerelectronics/v1#
ebucore,http://www.ebu.ch/metadata/ontologies/ebucore/ebucore#
gastro,http://www.ebsemantics.net/gastro#
gxa,http://www.ebi.ac.uk/gxa/
efo,http://www.ebi.ac.uk/efo/
kupkb,http://www.e-lico.eu/data/kupkb/
lfn,http://www.dotnetrdf.org/leviathan#
dnr,http://www.dotnetrdf.org/configuration#
rdb,http://www.dbs.cs.uni-duesseldorf.de/RDF/relational#
owls,http://www.daml.org/services/owl-s/1.2/Service.owl#
owlse,http://www.daml.org/services/owl-s/1.2/generic/Expression.owl#
airport,http://www.daml.org/2001/10/html/airport-ont#
coun,http://www.daml.org/2001/09/countries/iso-3166-ont#
daml,http://www.daml.org/2001/03/daml+oil#
daisy,http://www.daisy.org/z3998/2012/vocab/
cdc,http://www.contextdatacloud.org/resource/
wnschema,http://www.cogsci.princeton.edu/~wn/schema/
travel,http://www.co-ode.org/roberts/travel.owl#
pizza,http://www.co-ode.org/ontologies/pizza/pizza.owl#
cmdi,http://www.clarin.eu/cmd/
crm,http://www.cidoc-crm.org/cidoc-crm/
bd,http://www.bigdata.com/rdf/search#
sport,http://www.bbc.co.uk/ontologies/sport/
bbcprov,http://www.bbc.co.uk/ontologies/provenance/
bbc,http://www.bbc.co.uk/ontologies/news/
bbccore,http://www.bbc.co.uk/ontologies/coreconcepts/
bbccms,http://www.bbc.co.uk/ontologies/cms/
eat,http://www.awesomesauce.net/urmom/
card,http://www.ashutosh.com/test/
akts,http://www.aktors.org/ontology/support#
akt,http://www.aktors.org/ontology/portal#
qrl,http://www.aifb.kit.edu/project/ld-retriever/qrl#
aifb,http://www.aifb.kit.edu/id/
agls,http://www.agls.gov.au/agls/terms/
malignneo,http://www.agfa.com/w3c/2009/malignantNeoplasm#
infection,http://www.agfa.com/w3c/2009/infectiousDisorder#
disease,http://www.agfa.com/w3c/2009/humanDisorder#
hospital,http://www.agfa.com/w3c/2009/hospital#
hemogram,http://www.agfa.com/w3c/2009/hemogram#
healthcare,http://www.agfa.com/w3c/2009/healthCare#
drug,http://www.agfa.com/w3c/2009/drugTherapy#
clinproc,http://www.agfa.com/w3c/2009/clinicalProcedure#
clineva,http://www.agfa.com/w3c/2009/clinicalEvaluation#
agetec,http://www.agetec.org/
affy,http://www.affymetrix.com/community/publications/affymetrix/tmsplice#
wbp,http://worldbank.270a.info/property/
worldbank,http://worldbank.270a.info/dataset/
wbc,http://worldbank.270a.info/classification/
wisski,http://wiss-ki.eu/
wikterms,http://wiktionary.dbpedia.org/terms/
rv,http://wifo-ravensburg.de/semanticweb.rdf#
dgfoaf,http://west.uni-koblenz.de/ontologies/2010/07/dgfoaf.owl#
wao,http://webtlab.it.uc3m.es/2010/10/WebAppsOntology#
webtlab,http://webtlab.it.uc3m.es/
call,http://webofcode.org/wfn/call:
wfn,http://webofcode.org/wfn/
admin,http://webns.net/mvcb/
wlp,http://weblab-project.org/core/model/property/processing/
webbox,http://webbox.ecs.soton.ac.uk/ns#
rssynd,http://web.resource.org/rss/1.0/modules/syndication/
osoc,http://web-semantics.org/ns/opensocial#
mysql,http://web-semantics.org/ns/mysql/
wp,http://vocabularies.wikipathways.org/
csv,http://vocab.sindice.net/csv/
sindice,http://vocab.sindice.net/
xfn,http://vocab.sindice.com/xfn#
xfnv,http://vocab.sindice.com/xfn#
comm,http://vocab.resc.info/communication#
ox,http://vocab.ox.ac.uk/projectfunding#
ludo,http://vocab.ox.ac.uk/ludo#
camelot,http://vocab.ox.ac.uk/camelot#
arpfo,http://vocab.ouls.ox.ac.uk/projectfunding#
whisky,http://vocab.org/whisky/terms/
wv,http://vocab.org/waiver/terms/
transit,http://vocab.org/transit/terms/
muni,http://vocab.linkeddata.es/urbanismo-infraestructuras/territorio#
estrn,http://vocab.linkeddata.es/datosabiertos/def/urbanismo-infraestructuras/transporte#
cjr,http://vocab.linkeddata.es/datosabiertos/def/urbanismo-infraestructuras/callejero#
escjr,http://vocab.linkeddata.es/datosabiertos/def/urbanismo-infraestructuras/callejero#
esaloj,http://vocab.linkeddata.es/datosabiertos/def/turismo/alojamiento#
esadm,http://vocab.linkeddata.es/datosabiertos/def/sector-publico/territorio#
geod,http://vocab.lenka.no/geo-deling#
ngeoi,http://vocab.lenka.no/geo-deling#
lh,http://vocab.inf.ed.ac.uk/library/holdings#
ulan,http://vocab.getty.edu/ulan/
tgn,http://vocab.getty.edu/tgn/
gvp,http://vocab.getty.edu/ontology#
aat,http://vocab.getty.edu/aat/
fp3,http://vocab.fusepool.info/fp3#
fam,http://vocab.fusepool.info/fam#
tao,http://vocab.deri.ie/tao#
sad,http://vocab.deri.ie/sad#
room,http://vocab.deri.ie/rooms#
rooms,http://vocab.deri.ie/rooms#
raul,http://vocab.deri.ie/raul#
